step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl
108,0.5819,0.3884,0.9821,1118,0.008929,150,72.14,9.99e-06,0.06673,0.9831,0.9946,0.003422,0.3959,0,0.006234,1.855,1.72
109,0.6865,0.4866,1,909.9,0,150,61.03,9.99e-06,0.07351,0.9786,0.9927,0.00465,0.4539,0,0.005121,1.981,1.804
110,0.5903,0.3929,0.9955,923,0.004464,150,33.33,9.99e-06,0.0631,0.9841,0.9951,0.003098,0.424,0,0.005793,1.812,1.676
111,0.5971,0.3973,1,738.1,0,150,33.02,9.99e-06,0.0674,0.9874,0.996,0.00199,0.3969,0,0.004463,1.587,1.479
112,0.7134,0.5134,1,684.4,0,150,73.7,9.99e-06,0.07154,0.9865,0.9959,0.002688,0.4283,0,0.004165,1.7,1.58
113,0.5263,0.3304,0.9866,1019,0.004464,70.99,55.69,9.99e-06,0.05497,0.9888,0.9956,0.001886,0.3832,0,0.006471,1.596,1.512
114,0.5613,0.3661,0.9911,1155,0.008929,70.99,56.45,9.99e-06,0.06252,0.984,0.993,0.003478,0.3903,0,0.006665,1.801,1.668
115,0.431,0.2366,0.9866,1097,0.01339,70.99,68.38,9.99e-06,0.07623,0.981,0.9908,0.003547,0.3753,0,0.008754,2.017,1.846
116,0.4736,0.2768,0.9911,984.4,0.004464,70.99,78.88,9.99e-06,0.08074,0.9796,0.993,0.004459,0.4062,0,0.005111,2.017,1.839
117,0.5557,0.3571,0.9955,907.8,0,70.99,28.74,9.99e-06,0.06563,0.9848,0.9948,0.002201,0.408,0,0.006641,2.079,1.941
118,0.6429,0.4464,0.9911,633.4,0.008929,84.88,42.77,9.99e-06,0.09558,0.985,0.9944,0.002388,0.4362,0,0.006863,2.096,1.891
119,0.5366,0.3393,0.9911,931.9,0.004464,84.88,41.74,9.99e-06,0.0617,0.9878,0.9939,0.002202,0.4168,0,0.00556,1.611,1.516
120,0.5951,0.3973,0.9911,786,0,84.88,34.36,9.99e-06,0.07936,0.9824,0.9925,0.003774,0.4355,0,0.007308,1.79,1.646
121,0.5138,0.3214,0.9821,981.7,0.01339,84.88,42.12,9.99e-06,0.07271,0.9846,0.9938,0.002617,0.3747,0,0.005051,1.904,1.755
122,0.5732,0.3795,0.9777,901.2,0.008929,84.88,33.61,9.99e-06,0.07322,0.9829,0.994,0.003264,0.4235,0,0.006245,1.888,1.747
123,0.5701,0.3705,1,755,0,84.88,51.92,9.99e-06,0.09412,0.9731,0.9881,0.006225,0.4446,0,0.006149,2.02,1.82
124,0.4934,0.2991,0.9866,1045,0.008929,84.88,65.65,9.99e-06,0.06494,0.9848,0.993,0.002604,0.3887,0,0.007555,1.792,1.68
